mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Db.I	Db	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/4	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
1	1	3/8	IV6(+2)	Db	I		IV6(+2)	IV		6	+2			M	0	0	3, 0, -1	1	-1	3
1	1	5/8	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
2	2	0	V2	Db	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	1/4	I6	Db	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	2	3/8	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
2	2	1/2	V(964)	Db	I		V(964)	V			964			M	0	0	1, 0, 4	3	1	1
2	2	5/8	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	3	0	I(4)	Db	I		I(4)	I			4			M	0	0	0, -1, 1		0	0
3	3	1/4	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
3	3	3/8	IV6(+2)	Db	I		IV6(+2)	IV		6	+2			M	0	0	3, 0, -1	1	-1	3
3	3	5/8	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
4	4	0	V2	Db	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
4	4	1/4	I6	Db	I		I6	I		6				M	0	0	4, 1, 0		0	4
4	4	3/8	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/2	V(964)	Db	I		V(964)	V			964			M	0	0	1, 0, 4	3	1	1
4	4	5/8	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	I\\	Db	I		I	I					\\	M	0	0	0, 4, 1		0	0
5	5	1/4	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
5	5	3/8	IV6(+2)	Db	I		IV6(+2)	IV		6	+2			M	0	0	3, 0, -1	1	-1	3
5	5	5/8	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
6	6	0	V7/vi	Db	I		V7/vi	V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
7	7	0	vi(4)	Db	I		vi(4)	vi			4			m	0	0	3, 2, 4		3	3
7	7	1/8	#viio7/vi	Db	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
7	7	1/4	vi	Db	I		vi	vi						m	0	0	3, 0, 4		3	3
7	7	3/8	V43/vi	Db	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
7	7	5/8	vi6	Db	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
8	8	0	V7/V	Db	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
8	8	1/8	vii%7/V	Db	I		vii%7/V	vii	%	7		V		%7	0	0	6, 5, 12, 4		6	6
8	8	1/4	V	Db	I		V	V						M	0	0	1, 5, 2		1	1
8	8	3/8	V43/V	Db	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
8	8	5/8	V6	Db	I		V6	V		6				M	0	0	5, 2, 1		1	5
9	9	0	V[V\\	Db	I	V	V	V					\\	M	0	0	1, 5, 2		1	1
9	9	3/8	V7	Db	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	9	5/8	V(64)	Db	I	V	V(64)	V			64			M	0	0	1, 0, 4		1	1
10	10	0	V	Db	I	V	V	V						M	0	0	1, 5, 2		1	1
10	10	3/8	IV6(+2)	Db	I	V	IV6(+2)	IV		6	+2			M	0	0	3, 0, -1	1	-1	3
10	10	5/8	I64]	Db	I	V	I64	I		64				M	0	0	1, 0, 4		0	1
11	11	0	V2	Db	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
11	11	1/4	I6	Db	I		I6	I		6				M	0	0	4, 1, 0		0	4
11	11	3/8	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/2	V(964)	Db	I		V(964)	V			964			M	0	0	1, 0, 4	3	1	1
11	11	5/8	V7	Db	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	I(4)	Db	I		I(4)	I			4			M	0	0	0, -1, 1		0	0
12	12	1/4	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
12	12	3/8	IV6(+2)	Db	I		IV6(+2)	IV		6	+2			M	0	0	3, 0, -1	1	-1	3
12	12	5/8	I64	Db	I		I64	I		64				M	0	0	1, 0, 4		0	1
13	13	0	V2	Db	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
