mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	6/8	3	1		Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	0	0	6/8	3	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	0	0	6/8	3	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	3/8	3/8	6/8	3	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	9/16	9/16	6/8	3	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
3	3	5/8	5/8	6/8	3	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
4	4	0	0	6/8	3	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	1/8	1/8	6/8	3	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	6/8	3	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
4	4	3/8	3/8	6/8	3	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	6/8	3	1		I|IAC}{	Eb	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
6	6	0	0	6/8	3	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	0	0	6/8	3	1		I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
8	8	0	0	6/8	3	1		IV6	Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
8	8	3/8	3/8	6/8	3	1		IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
9	9	0	0	6/8	3	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	3/8	3/8	6/8	3	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
10	10	0	0	6/8	3	1		V7(4)/V	Eb	I		V7(4)/V	V		7	4	V			Mm7	0	0	2, 1, 3, 0		2	2
10	10	3/8	3/8	6/8	3	1		V7/V	Eb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
11	11	0	0	6/8	3	1		V|HC}	Eb	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
12	12	0	0	6/8	3	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	3/16	3/16	6/8	3	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
12	12	1/4	1/4	6/8	3	1		V64	Eb	I		V64	V		64					M	0	0	2, 1, 5		1	2
12	12	3/8	3/8	6/8	3	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	1/2	1/2	6/8	3	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
