path	filename	extension	md5	label_count	KeySig	TimeSig	composer	copyright	lyricist	movementNumber	movementTitle	musescore	source	workNumber	workTitle	imslp	composed_start	composed_end
./op13no1 Ich stand in dunklen Traumen.mscx	op13no1 Ich stand in dunklen Traumen	.mscx	1edf374d8020cdd6787820bb1854f510	0	-3	3/4	Clara Schumann	OpenScore (CC0)	Heinrich Heine	1	Ich stand in dunklen Träumen	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5133602	13	6 Lieder, Op.13	https://imslp.org/wiki/Special:ReverseLookup/348578	1844	1844
./op13no2 Sie liebten sich beide.mscx	op13no2 Sie liebten sich beide	.mscx	7a0b855cd4bcfae8987f1d9c8bc86871	0	-2	6/8	Clara Schumann	OpenScore (CC0)	Heinrich Heine	2	Sie liebten sich beide	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5125680	13	6 Lieder, Op.13	https://imslp.org/wiki/Special:ReverseLookup/348578	1844	1844
./op13no3 Liebeszauber.mscx	op13no3 Liebeszauber	.mscx	cd80679643a8a21d625d949bfd3e20e2	0	-3	4/4	Clara Schumann	OpenScore (CC0)	Emanuel Geibel	3	Liebeszauber	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5126774	13	6 Lieder, Op.13	https://imslp.org/wiki/Special:ReverseLookup/348578	1844	1844
./op13no4 Der Mond kommt still gegangen.mscx	op13no4 Der Mond kommt still gegangen	.mscx	32b666d328b6a52d8c37fe2a5d4a2592	0	-5	6/8	Clara Schumann	OpenScore (CC0)	Emanuel Geibel 	4	Der Mond kommt still gegangen	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5126921	13	6 Lieder, Op.13	https://imslp.org/wiki/Special:ReverseLookup/348578	1844	1844
./op13no5 Ich hab in deinem Auge.mscx	op13no5 Ich hab in deinem Auge	.mscx	efa16e4d5abff6ccd313ebdaa37e6394	0	-4	3/4	Clara Schumann	OpenScore (CC0)	Friedrich Rückert	5	Ich hab' in Deinem Auge	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5130351	13	6 Lieder, Op.13	https://imslp.org/wiki/Special:ReverseLookup/348578	1844	1844
./op13no6 Die stille Lotosblume.mscx	op13no6 Die stille Lotosblume	.mscx	0e914501de7b4db0a1adb72b9797c2e2	0	-4	3/4	Clara Schumann	OpenScore (CC0)	Emanuel Geibel	6	Die stille Lotosblume	2.3.2	http://musescore.com/openscore-lieder-corpus/scores/5130634	13	6 Lieder, Op.13	https://imslp.org/wiki/Special:ReverseLookup/348578	1844	1844
./op23no1 Was weinst du Blumlein.mscx	op23no1 Was weinst du Blumlein	.mscx	ff59f3d502ec9bcfcf3febc34e5806e6	0	3, 3	2/4	Clara Schumann	OpenScore (CC0)	Hermann Rollett	1	Was weinst du, Blümlein?	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5133647	23	6 Lieder, Op.23	https://imslp.org/wiki/Special:ReverseLookup/485202	1853	1853
./op23no2 An einem lichten Morgen.mscx	op23no2 An einem lichten Morgen	.mscx	25cac2668a18244d5826f2449eacf20d	0	-1	4/4	Clara Schumann	Creative Commons copyright waiver (CC0 1.0 Universal)	Hermann Rollett	2	An einem lichten Morgen	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5133773	23	6 Lieder, Op.23	https://imslp.org/wiki/Special:ReverseLookup/485202	1853	1853
./op23no3 Geheimes Flustern hier und dort.mscx	op23no3 Geheimes Flustern hier und dort	.mscx	4e067289b170523548d7067b5f6b7bba	0	-5	3/8	Clara Schumann	OpenScore (CC0)	Hermann Rollet	3	Geheimes Flüstern hier und dort	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5134987	23	6 Lieder, Op.23	https://imslp.org/wiki/Special:ReverseLookup/485202	1853	1853
./op23no4 Auf einem grunen Hugel.mscx	op23no4 Auf einem grunen Hugel	.mscx	2c8ddbac95878fadf0cf7cef97f92ab8	0		2/4	Clara Schumann	OpenScore (CC0)	Hermann Rollet	4	Auf einem grünen Hügel	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5142672	23	6 Lieder, Op.23	https://imslp.org/wiki/Special:ReverseLookup/485202	1853	1853
./op23no5 Das ist ein Tag der klingen mag.mscx	op23no5 Das ist ein Tag der klingen mag	.mscx	633db22db03e4349c99b8eba700dc91b	0	2	6/8	Clara Schumann	OpenScore (CC0)	Hermann Rollett	5	Das ist ein Tag, der klingen mag	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5142714	23	6 Lieder, Op.23	https://imslp.org/wiki/Special:ReverseLookup/485202	1853	1853
./op23no6 O Lust o Lust.mscx	op23no6 O Lust o Lust	.mscx	b9f103ee4c29f701e2495c79304b7840	0	-3	6/8	Clara Schumann	OpenScore (CC0)	Hermann Rollett	6	O Lust, o Lust	2.3.2	https://musescore.com/openscore-lieder-corpus/scores/5142768	23	6 Lieder, Op.23	https://imslp.org/wiki/Special:ReverseLookup/485202	1853	1853
