mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	3	1	Db.I{				Db	I		I	I						{	M	0	0	-5, -1, -4		-5	-5	0	9	0.0	0.0	0.875	0.0
2	2	0	0	3/8	3	1	viio43(#2)/V				Db	I		viio43(#2)/V	vii	o	43	#2	V			o7	0	0	-5, -8, 1, 3		1	-5	0	5	0.0	0.0	0.5	0.0
2	2	1/4	1/4	3/8	3	1	viio43/V	0	-9	/	Db	I		viio43/V	vii	o	43		V			o7	0	0	-5, -8, 1, -2		1	-5	0	3	0.0	0.0	0.25	0.0
3	3	0	0	3/8	3	1	V6				Db	I		V6	V		6					M	0	0	0, -3, -4		-4	0	0	9	0.0	0.0	0.875	0.0
4	4	0	0	3/8	3	1	viio43(#2)/IV				Db	I		viio43(#2)/IV	vii	o	43	#2	IV			o7	0	0	-7, -10, -1, 1		-1	-7	2	4	0.3333333333333333	0.125	0.5	0.2
4	4	1/4	1/4	3/8	3	1	viio43/IV	0	-9	/	Db	I		viio43/IV	vii	o	43		IV			o7	0	0	-7, -10, -1, -4		-1	-7	0	3	0.0	0.0	0.25	0.0
5	5	0	0	3/8	3	1	IV6				Db	I		IV6	IV		6					M	0	0	-2, -5, -6		-6	-2	0	9	0.0	0.0	0.875	0.0
6	6	0	0	3/8	3	1	V2(#11)/iii				Db	I		V2(#11)/iii	V		2	#11	iii			Mm7	0	0	-2, 0, 4, 1	6	0	-2	0	7	0.0	0.0	0.6875	0.0
6	6	1/4	1/4	3/8	3	1	V2/iii				Db	I		V2/iii	V		2		iii			Mm7	0	0	-2, 0, 4, 1		0	-2	0	4	0.0	0.0	0.3125	0.0
7	7	0	0	3/8	3	1	iii6				Db	I		iii6	iii		6					m	0	0	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.5	0.0
7	7	3/16	3/16	3/8	3	1	#viio43/ii				Db	I		#viio43/ii	#vii	o	43		ii			o7	0	0	-4, -7, 2, -1		2	-4	0	5	0.0	0.0	0.4375	0.0
8	8	0	0	3/8	3	1	ii6				Db	I		ii6	ii		6					m	0	0	-6, -2, -3		-3	-6	0	5	0.0	0.0	0.5	0.0
8	8	3/16	3/16	3/8	3	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	5	0.0	0.0	0.5	0.0
9	9	0	0	3/8	3	1	I[I|IAC}{				Db	I	I	I	I					IAC	}{	M	0	0	-5, -1, -4		-5	-5	0	6	0.0	0.0	0.75	0.0
9	9	3/16	3/16	3/8	3	1	viio65				Db	I	I	viio65	vii	o	65					o7	0	0	-3, -6, -9, 0		0	-3	0	5	0.0	0.0	0.5	0.0
10	10	0	0	3/8	3	1	vi6				Db	I	I	vi6	vi		6					m	0	0	-5, -1, -2		-2	-5	0	5	0.0	0.0	0.625	0.0
10	10	3/16	3/16	3/8	3	1	#viio65/vi				Db	I	I	#viio65/vi	#vii	o	65		vi			o7	0	0	0, -3, -6, 3		3	0	0	5	0.0	0.0	0.5	0.0
11	11	0	0	3/8	3	1	vi6				Db	I	I	vi6	vi		6					m	0	0	-5, -1, -2		-2	-5	0	6	0.0	0.0	0.75	0.0
11	11	3/16	3/16	3/8	3	1	#viio43/ii				Db	I	I	#viio43/ii	#vii	o	43		ii			o7	0	0	-4, -7, 2, -1		2	-4	0	5	0.0	0.0	0.5	0.0
12	12	0	0	3/8	3	1	ii64				Db	I	I	ii64	ii		64					m	0	0	-2, -3, -6		-3	-2	0	5	0.0	0.0	0.625	0.0
12	12	3/16	3/16	3/8	3	1	#viio65/ii				Db	I	I	#viio65/ii	#vii	o	65		ii			o7	0	0	-1, -4, -7, 2		2	-1	0	4	0.0	0.0	0.375	0.0
13	13	0	0	3/8	3	1	ii6				Db	I	I	ii6	ii		6					m	0	0	-6, -2, -3		-3	-6	1	19	0.05	0.125	2.0	0.058823529411764705
15	15	0	0	3/8	3	1	V43(4)				Db	I	I	V43(4)	V		43	4				Mm7	0	0	-3, -6, -4, -5		-4	-3	0	8	0.0	0.0	0.9375	0.0
15	15	1/4	1/4	3/8	3	1	V				Db	I	I	V	V							M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.375	0.0
16	16	0	0	3/8	3	1	IV64				Db	I	I	IV64	IV		64					M	0	0	-5, -6, -2		-6	-5	0	6	0.0	0.0	0.75	0.0
16	16	1/4	1/4	3/8	3	1	V6				Db	I	I	V6	V		6					M	0	0	0, -3, -4		-4	0	0	4	0.0	0.0	0.375	0.0
17	17	0	0	3/8	3	1	I]}{				Db	I	I	I	I						}{	M	0	0	-5, -1, -4		-5	-5	0	11	0.0	0.0	1.125	0.0
18	18	0	0	3/8	3	1	viio43/III				Db	I		viio43/III	vii	o	43		III			o7	0	0	-2, -5, 4, 1		4	-2	0	12	0.0	0.0	1.375	0.0
19	19	0	0	3/8	3	1	III				Db	I		III	III							M	0	0	-1, 3, 0		-1	-1	0	11	0.0	0.0	1.375	0.0
20	20	0	0	3/8	3	1	III6				Db	I		III6	III		6					M	0	0	3, 0, -1		-1	3	0	13	0.0	0.0	1.375	0.0
21	21	0	0	3/8	3	1	V7(4)/III				Db	I		V7(4)/III	V		7	4	III			Mm7	0	0	0, -1, 1, -2		0	0	0	11	0.0	0.0	1.375	0.0
22	22	0	0	3/8	3	1	V7/III				Db	I		V7/III	V		7		III			Mm7	0	0	0, 4, 1, -2		0	0	0	10	0.0	0.0	1.25	0.0
23	23	0	0	3/8	3	1	I/III|PAC}				Db	I		I/III	I				III	PAC	}	M	0	0	-1, 3, 0		-1	-1	0	20	0.0	0.0	2.0	0.0
25	25	0	0	3/8	3	1	ii{				Db	I		ii	ii						{	m	0	0	-3, -6, -2		-3	-3	0	10	0.0	0.0	1.0625	0.0
26	26	0	0	3/8	3	1	ii2				Db	I		ii2	ii		2					mm7	0	0	-5, -3, -6, -2		-3	-5	0	12	0.0	0.0	1.375	0.0
27	27	0	0	3/8	3	1	vii%7				Db	I		vii%7	vii	%	7					%7	0	0	0, -3, -6, -2		0	0	0	11	0.0	0.0	1.375	0.0
28	28	0	0	3/8	3	1	V65				Db	I		V65	V		65					Mm7	0	0	0, -3, -6, -4		-4	0	0	11	0.0	0.0	1.25	0.0
29	29	0	0	3/8	3	1	ii64				Db	I		ii64	ii		64					m	0	0	-2, -3, -6		-3	-2	0	11	0.0	0.0	1.375	0.0
30	30	0	0	3/8	3	1	ii%43				Db	I		ii%43	ii	%	43					%7	0	0	-9, -5, -3, -6		-3	-9	0	12	0.0	0.0	1.375	0.0
31	31	0	0	3/8	3	1	V7(4)				Db	I		V7(4)	V		7	4				Mm7	0	0	-4, -5, -3, -6		-4	-4	0	10	0.0	0.0	1.3125	0.0
